Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
dyadic;0;1;2;1;0;0;0;2;2;0;2;2;2;0;2;1;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0
frequenc;0;1;2;1;1;2;1;0;2;2;2;2;0;0;0;2;0;0;1;0;1;0;1;1;3;0;1;0;1;1;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
symbol;3;2;0;3;2;0;1;0;2;1;0;0;0;0;1;0;1;1;1;0;2;0;1;0;0;0;0;1;0;0;0;0;3;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
justic;0;0;0;1;1;0;2;0;1;3;0;0;0;2;0;0;0;1;2;0;1;1;2;0;0;0;0;1;1;2;1;1;1;2;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
attitudin;0;1;2;2;3;4;2;2;2;1;2;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0
convers;0;0;0;0;1;0;0;2;0;0;1;1;1;2;0;1;2;3;1;0;1;0;1;1;2;3;1;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1
emerg;0;0;0;2;0;1;1;1;3;1;2;0;0;0;1;2;0;1;0;1;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;1;1;1;0;0;1;1;3;0;0;0;0;0;0
form;0;0;0;2;1;0;0;0;2;0;0;1;0;0;1;1;0;0;2;1;0;0;1;2;1;2;1;0;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0
signal;0;0;0;0;0;0;1;2;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;3;1;2;2;1;0;2;0;0;0;1;3;4;0
minor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;1;0;0;0;1;1;0;2;3;4;0;1;1;1;1;0;1;0;0;1;2;1;1;0;1;0;0;0;0;1;1;0;0
risk take;2;3;3;0;1;3;5;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
help behavior;0;0;1;2;1;0;2;2;2;1;4;1;1;2;2;2;1;2;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
problem solv;1;3;6;2;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
contribut;1;0;0;0;1;0;3;0;0;0;0;1;0;0;0;2;0;1;0;0;2;0;1;1;0;1;2;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;2;0;1;1;1;2;1;0;1
imag;0;1;2;0;0;0;1;1;0;0;0;0;1;0;0;4;0;1;2;1;3;2;0;0;0;0;1;0;1;0;0;0;1;1;2;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1;0;0
privat;0;0;0;0;1;0;0;0;0;1;0;1;1;0;2;2;2;3;2;0;4;1;1;0;3;1;2;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
strength;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;3;0;1;3;0;0;0;0;0;0;1;0;1;1;1;4;0;0;1;0;0;1;2;1;1;2;0;0;0;1;0;0;0;0;0;1;1;0;1
question;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;4;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;3;1;1;0;1;1;1;0;2;0;3;0;1;0;0;1;0;0;0;0;1;0;2;0;0
univers;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;3;1;0;3;0;0;0;1;0;0;0;0;1;0;0;0;1;2;2;1;0;0;1;0;3;4;2;0;0;0;1;0;0;0;0
data;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;2;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;1;2;1;2
prototyp;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;2;2;1;2;3;0;0;5;0;3;0;0;2;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
shift;1;0;0;0;0;0;4;0;1;3;0;2;0;0;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;2;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;2
ideal;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;1;0;1;1;0;2;0;0;1;1;0;1;0;0;2;1;0;0;2;0;1;1;2;0;1;0;1;1;1;0;1;0;0;1;2;0;1
awar;1;3;4;1;1;2;1;2;1;1;0;1;0;0;1;1;1;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0
acquaint;0;1;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;1;1;0;2;2;1;1;1;0;0;2;1;0;1;0;4;0;0;0;0;0;1;0;0;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0
reactiv;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;2;1;0;3;0;1;1;0;1;1;0;1;0;2;0;0;1;3;2;1;0;1;0;1;0;0;0;0;0
standard;0;0;0;1;1;0;0;0;1;0;1;0;0;1;2;0;0;0;2;0;0;0;1;2;1;0;1;2;1;3;0;0;4;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
bad;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;3;1;0;1;0;0;2;1;1;3;0;1;0;0;0;1;0;1;0;0;0;1;4;0;1;0;2
forgiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;1;2;0;2;2;2;4;1;1;0;0;0;1;0;0;4;4;1
life satisfact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;3;1;0;1;1;1;0;0;1;1;0;2;0;2;5;5;2
long term;0;0;0;1;1;0;0;0;0;0;2;2;2;1;0;0;0;0;0;1;1;0;1;2;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;2;0;0;2;0;0;0;1;0;0;0;1;0;1;0
moral judgment;0;1;0;1;2;1;0;1;2;2;4;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;3;0;1
self enhanc;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2;1;0;0;0;0;2;0;0;3;3;0;1;0;1;5;0;3;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0
visual;1;3;1;3;0;0;0;0;1;2;1;0;0;0;0;1;1;2;0;0;3;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1
mix;0;0;0;0;3;0;0;1;2;0;1;0;0;1;2;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;2;0;0;1;0;0;0;1;0;2;0;0;1;1
dyad;3;1;1;2;1;0;0;1;2;2;2;0;1;1;2;0;0;0;1;2;1;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
mainten;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;1;1;0;2;0;0;0;1;1;0;1;0;0;0;0;1;2;1;1;2;1;1;2;2;0;0;1;0;0;0;0;1;0
contextu;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;2;3;1;2;0;0;2;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;2;1;0
altruism;0;0;0;1;0;1;0;1;0;1;2;3;0;0;1;1;4;2;0;0;0;3;1;1;2;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
concern;0;0;1;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;3;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;2;1;2;0;0;0;1;2;0;0;1;0;0;1;1;0
project;1;1;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0;3;1;0;1;1;1;1;1;2;2;1;1;0;0;0;0;0;0
variat;4;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;1;2;0;0;2;1;0;0;0;0;0;0;1;1;2;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;1;0
signific;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;3;0;1;3;0;1;1;0;1;0;3;0;0;1;0;0;1;1;0;0;0;0;2;0;0;2;0;2;0
imit;5;1;3;1;0;1;1;4;0;0;5;5;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
explain;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;1;1;1;0;0;1;3;0;0;1;0;3;0;1;1;0;1;0;1;0;0;0;0;0;2;1;1;1;1;2;2;0;0;0;1;1
correct;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;2;0;0;4;0;0;0;0;1;0;0;0;0;0;2;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;1;0;2;0;0;0;1;0;4;0
intuit;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;1;0;0;0;1;0;1;2;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;2;0;0;1;1;0;5;0;0;0;0;1;2;0;2;0;0;0
global;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;0;1;0;0;1;1;2;1;0;1;1;1;1;2;0;0;2;2;0;1;0;0;0;0;3;0;2;1;0;1
terror manag;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;5;1;3;2;0;2;0;1;2;4;0;2;2;0;0;1;0;1;0;0;0;0;1;0;0
familiar;2;0;1;0;1;1;2;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;2;0;0;0;2;0;2;0;4;1;1;0;0;0;1;0;0;0;0
free;1;1;0;0;0;2;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;2;3;0;0;2;0;0;0;3
contrast;0;2;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;4;0;0;3;2;1;0;1;1;0;1;1;0;1;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
student;1;1;1;1;0;0;0;2;1;1;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;2;2;1
suppress;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;2;1;1;1;3;1;0;1;2;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0
train;1;0;1;2;0;2;0;2;1;1;2;1;0;0;1;0;0;1;0;0;2;0;1;1;3;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0
attain;0;1;1;2;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;2;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1;1;4;1;0
vulner;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;2;3;2;0;1;1;2;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;2;0
limit;0;0;0;0;0;0;2;1;0;1;0;1;0;0;1;0;2;1;1;0;1;0;0;1;2;1;1;0;1;2;0;0;0;2;0;0;1;0;0;1;0;0;1;2;1;0;0;0;0;0;1;0;1;0;0;1;0
twin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;3;1;1;0;0;1;0;1;0;1;4;1;2;3;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0
secur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;3;4;0;2;1;3;0;1;0;2;2;2;0;0;3;0;0;0;1;1;0;0
meta analysi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;2;2;1;1;1;2;1;0;0;2;2;3;2
judg;2;1;0;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;3;1;2;1;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;2;0
symptom;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;1;1;1;0;0;3;1;1;2;0;0;1;1;1;0;1;0;0;3;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0
vicari;1;1;4;1;1;1;1;3;1;1;1;2;0;2;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
speech;1;1;2;2;1;0;0;0;0;0;0;1;0;0;3;2;1;0;1;1;1;3;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0
valenc;0;0;2;0;1;1;1;1;1;2;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2;1;0;2;1;1;0;1;1;1;0;1;0;0;2;0;0;0;0;1;0;0;1;0;1;0;0
ey;0;0;1;1;0;0;1;0;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;1;2;0;0;1;3;1;1;0
estim;2;1;0;0;1;0;1;1;1;0;0;0;0;2;0;0;0;2;2;0;0;1;2;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
field;1;1;0;0;0;1;1;1;2;3;3;4;0;0;0;0;0;1;1;3;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
take;1;0;0;1;0;0;0;3;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;1;1;1;0;1;0;1;0;0;1;2;0;1;1;2;0
retriev;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;2;3;0;2;1;0;1;1;2;1;0;1;0;0;1;2;2;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
neurotic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;2;0;1;1;1;3;0;0;3;2;2;1;1;1;0;1;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
shape;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;3;2;2;1;0;0;3;0;1;3;0;2;3;2
academ;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;2;2;1;1;1;0;1;0;2;2;0;0;1;0;0;1
child;2;3;2;0;0;1;1;0;0;0;4;0;1;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
depriv;1;1;0;4;2;1;1;2;1;0;1;1;0;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
schema;0;1;1;2;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;2;1;2;0;0;0;1;0;1;0;0;1;0;0;3;0;1;2;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
distribut;0;0;0;0;1;0;2;1;1;0;1;0;1;0;0;0;0;0;3;2;1;0;0;0;2;0;0;0;1;1;0;1;1;1;0;0;2;0;0;0;0;0;0;1;2;0;0;0;1;0;1;0;0;0;1;0;0
bodi;6;0;1;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;1;1;0
equal;1;0;1;1;0;0;0;0;1;0;4;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;1;0;0;1;0;0;2;0;0;0;1;0;1;2;0;0;0;0;2
principl;0;3;0;0;0;0;0;1;0;1;2;0;0;0;1;1;0;1;0;1;0;0;2;0;1;0;0;1;0;0;0;1;0;1;0;0;0;2;1;0;0;4;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0
common;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;0;2;0;0;1;0;1;1;0;0;2;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;1;1
ingroup;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;3;2;2;1;0;0;0;0;0;1
acquisit;4;1;1;0;1;2;2;1;1;1;2;2;0;2;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
audienc;0;0;1;3;2;1;0;0;2;1;0;0;1;1;0;0;2;1;1;1;0;0;2;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
mere;0;0;0;3;0;0;1;0;0;1;1;1;1;0;0;0;0;0;2;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;2;1
actual;2;0;0;0;0;1;1;1;2;3;1;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;2;3;0;0;0;0;0;1;0;0;0;0;0
incent;3;2;3;1;1;3;3;1;1;0;0;1;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
intrins;0;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;1;3;1;2;1;1;1;0;1;1;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
prison s dilemma;2;1;2;5;2;3;3;2;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
self conscious;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;0;3;2;4;1;0;1;3;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
social percept;0;0;1;0;0;0;0;1;0;0;2;2;2;0;0;1;2;1;0;0;0;2;0;1;0;2;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0
self other;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;2;2;0;2;0;0;0;0;0;0;1;1;3;2;1;1;2;0;0;0;0;1;1;0;0
social ident;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;2;1;2;1;2;2;1;0;0;2;2;0;1;0;1;3;1;0;0;0;0;0;0;0;1;0;1;1
autonom;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;2;2;1;1;0;0;0;0;1;0;2;2;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
present;1;1;1;3;1;0;0;0;2;1;0;1;0;0;0;0;1;2;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1;1;1;0;0
match;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;3;0;0;2;1;0;2;1;0;0;1;1;1;0;1;2;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;0
particip;0;0;2;1;0;1;0;0;0;0;1;1;2;1;1;0;0;1;0;0;1;2;1;0;0;0;0;1;1;0;1;3;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
rule;0;0;0;2;0;0;2;1;2;1;2;1;0;0;0;0;0;0;1;1;1;2;2;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
voic;0;2;2;0;0;0;0;1;0;0;0;0;1;0;1;1;0;2;1;0;4;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;1;0
prosoci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;4;3;1;3;0;1;0;2;2;1;1
inequ;0;0;0;0;1;1;0;2;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;2;2;1;0;0;2;1;1;1;1;1;0
fair;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;2;0;1;1;0;0;0;0;0;1;3;3;3;2;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
avers;2;1;0;1;0;3;1;1;2;0;0;2;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;2;0;1;0;1;0;0;0
exchang;0;0;0;1;1;1;0;1;0;1;2;1;0;1;1;0;0;1;1;0;0;2;1;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;2;0;1;0;0;0;1
repress;1;0;1;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;1;0;0;0;3;0;0;1;3;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
error;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;1;1;1;0;0;0;1;2;0;1;0;0;0;0;1;0;2;0;1;0;0;0;1;2;1;1;0;0;1;1;0;0;0;0;1;0;1;0
asymmetri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;1;2;1;1;0;3;1;1;2;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0
narciss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;1;0;1;2;0;4;1;1;1;5;2;0
colleg student;1;0;0;0;1;2;1;2;0;0;0;1;0;0;0;2;1;0;2;2;2;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
adult attach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;3;5;1;2;1;1;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;0
explicit;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;3;1;2;3;3;2;0;1;1;0;0;0;0;0;0;0;1;0
dimension;0;0;0;0;0;2;0;1;2;0;0;1;0;0;0;3;0;0;0;2;0;0;0;1;0;1;1;0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;2;0
number;1;1;0;1;3;1;2;0;1;1;0;0;0;0;0;2;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
combin;2;1;0;4;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
phenomenon;0;0;0;0;2;0;2;1;2;0;2;2;0;0;2;0;1;0;1;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
opinion;1;2;3;0;1;1;0;0;1;1;3;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
